studytype: study1, user: 7, date: 0117, size: 3, pin: 2, time: 5.04
studytype: study1, user: 7, date: 0117, size: 3, pin: 2, time: 6.640000000000001
studytype: study1, user: 7, date: 0117, size: 3, pin: 2, time: 5.3
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 6.8
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 4.5
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 5.92
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 5.76
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 6.1000000000000005
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 5.12
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 5.32
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 5.28
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 4.72
studytype: study1, user: 8, date: 0117, size: 3, pin: 1, time: 5.0
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 4.88
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 4.74
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 5.9
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 4.9
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 5.0
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 5.44
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 5.4
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 4.5600000000000005
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 6.88
studytype: study1, user: 8, date: 0117, size: 3, pin: 2, time: 5.5600000000000005
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 5.66
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 5.9
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 5.54
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 5.7
studytype: study1, user: 9, date: 0118, size: 3, pin: 1, time: 6.18
