studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 1, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 2, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 3, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 4, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 5, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 6, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 7, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 8, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 9, input_pin: 730125
studytype: study3, date: 0119, user: 18, size: 3, pin: 2, num: 10, input_pin: 730125
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 1, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 2, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 3, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 4, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 5, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 6, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 7, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 8, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 9, input_pin: 6458
studytype: study3, date: 0119, user: 19, size: 3, pin: 2, num: 10, input_pin: 6458
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 1, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 2, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 3, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 4, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 5, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 6, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 7, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 8, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 9, input_pin: 642580
studytype: study3, date: 0119, user: 20, size: 3, pin: 2, num: 10, input_pin: 642580
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 1, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 2, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 3, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 4, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 5, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 6, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 7, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 8, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 9, input_pin: 67412
studytype: study3, date: 0119, user: 21, size: 3, pin: 2, num: 10, input_pin: 67412
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 1, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 2, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 3, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 4, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 5, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 6, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 7, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 8, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 9, input_pin: 6425
studytype: study3, date: 0119, user: 22, size: 3, pin: 2, num: 10, input_pin: 6425
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 1, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 2, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 3, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 4, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 5, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 6, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 7, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 8, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 9, input_pin: 6784012
studytype: study3, date: 0119, user: 23, size: 3, pin: 2, num: 10, input_pin: 6784012
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1], substring_accuracy: [0.75]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 6784012, correct_accuracy: [1, 1], substring_accuracy: [0.75, 0.25]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75]
date: 0119, user: 23, size: 3, pin: 2, correct_pin: 6785, input_pin_str: 7684012, correct_accuracy: [1, 1, 1, 1], substring_accuracy: [0.75, 0.25, 0.75, 0.75]
