FacialBlendshapes
NoseWrinklerR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CheekRaiserR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
LidTightenerR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
UpperLipRaiserR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EyesClosedR,3.51489E-21,1.752896E-21,9.205132E-22,9.205132E-22,5.05596E-22,5.05596E-22,2.886861E-22,1.70419E-22,1.70419E-22,1.035043E-22,6.440188E-23,6.440188E-23,6.863328E-23,6.863328E-23,4.415426E-23,2.884157E-23,2.884157E-23,1.908121E-23,1.908121E-23,1.275935E-23,8.608396E-24,8.608396E-24,5.851102E-24,5.851102E-24,4.00168E-24,4.00168E-24,2.750939E-24,1.899196E-24,1.899196E-24,1.315835E-24,1.315835E-24,9.143364E-25,6.368996E-25,6.368996E-25,4.445425E-25,3.108015E-25,3.108015E-25,2.175968E-25,2.175968E-25,1.525159E-25,1.070032E-25,1.070032E-25,7.513112E-26,7.513112E-26,5.278648E-26,3.710738E-26,3.710738E-26,2.609696E-26,2.609696E-26,1.836035E-26,1.292103E-26,1.292103E-26,9.095585E-27,9.095585E-27,6.403977E-27,6.403977E-27,4.509701E-27,3.176194E-27,3.176194E-27,2.23726E-27,2.23726E-27,1.576038E-27,6.786408E-28,6.786408E-28,4.78147E-28,3.36903E-28,3.36903E-28,2.373936E-28,2.373936E-28,1.672807E-28,1.178785E-28,1.178785E-28,1.178785E-28,8.306865E-29,5.853962E-29,5.853962E-29,4.125436E-29,2.907337E-29,2.907337E-29,2.048928E-29,2.048928E-29,1.443979E-29,1.017643E-29,1.017643E-29,7.17191E-30,7.17191E-30,5.054478E-30,3.562225E-30,3.562225E-30,0.001795666,0.001795666,0.02018888,0.02018888,0.04043373,0.0531182,0.05475326,0.05475326,0.05054682,0.05054682,0.04579055,0.04447393,0.04447393,0.04406942,0.04406942,0.03346151,0.03346151,0.02967247,0.02413208,0.02413208,0.02556862,0.02556862,0.02298058,0.02206385,0.02206385,0.02171089,0.02171089,0.0133212,0.0133212,0.0167472,0.01863923,0.01972191,0.01972191,0.01972191,0.02036094,0.02074839,0.02074839,0.01359588,0.01473393,0.01473393,0.01749443,0.01749443,0.01667216,0.01263858,0.01263858,0.0112099,0.0112099,0.006771257,0.00539691,0.00539691,0.004928891,0.004928891,0.004755025,0.00642754,0.00642754,0.005447365,0.005447365,0.005024987,0.005024987,0.004830938,0.007184933,0.0059601,0.0059601,0.005354466,0.005354466,0.00504,0.00504,0.004869526,0.004773546,0.004773546,0.004773546,0.004717693,0.00468424,0.002124146,0.002124146,0.001026628,0.001026628,0.0005247307,0.0005247307,0.0002816016,0.0001576373,0.0001576373,9.150222E-05,9.150222E-05,5.478704E-05,3.368137E-05,3.368137E-05,2.117463E-05,2.117463E-05,1.35656E-05,8.829943E-06,8.829943E-06,5.824616E-06,3.885212E-06,3.885212E-06,3.885212E-06,2.615858E-06,1.774954E-06,1.21219E-06,1.21219E-06,8.323216E-07,8.323216E-07,5.74042E-07,3.973908E-07,3.973908E-07,2.759472E-07,2.759472E-07,1.921082E-07,1.921082E-07,1.340247E-07,0.002466049,0.002466049,0.0035882,0.0035882,0.00412944,0.002403825,0.002403825,0.003478189,0.003478189,0.003269394,0.003269394,0.002040692,0.01765425,0.01765425,0.02235607,0.02235607,0.01503119,0.01095569,0.0052186,0.0052186,0.001060763,0.0006292962,0.0006292962,0.0004483582,0.0004483582,0.0003099054,0.001313697,0.001313697,0.001892501,0.002236475,0.002236475,0.002236475,0.001326659,0.008263632,0.009831702,0.009831702,0.003409422,0.003409422,0.0002876073,0.0002876073,0.009332947,0.005785286,0.005785286,0.0007548109,0.0007548109,0.0002232306,0.005910939,0.005910939,0.005207466,0.005207466,0.003882637,0.003882637,0.001444485,0.0003126878,0.0003126878,0.001019325,0.001019325,0.00249512,0.003601366,0.003601366,0.0002205726,0.002905827,0.002905827,0.00172065,0.00172065,0.003484075,0.007192393,0.007192393,0.01274521,0.01274521,0.01467298,0.01467298,0.01845798,0.01753686,0.01753686,0.01690415,0.01039534,0.01039534,0.006560337,0.006560337,0.0005853097,0.00186438,0.00186438,0.002936704,0.002936704,0.003435118,0.002070285,0.002070285,0.0007229666,0.0007229666,0.0003494394,0.0006862337,0.0006862337,0.0007871657,0.0007871657,0.003875099,0.003455008,0.003455008,0.04471024,0.04471024,0.206514,0.206514,0.4105476,0.721173,0.721173,0.9243928,0.9243928,0.8219078,0.3742006,0.3742006,0.3742006,0.1381935,0.09293735,0.09293735,0.09293735,0.1826207,0.1826207,0.2057057,0.2237538,0.2237538,0.2374671,0.2400449,0.2400449,0.2005178,0.2005178,0.1404017,0.1404017,0.1286568,0.1168348,0.1168348,0.09373224,0.09373224,0.09150846,0.08677465,0.08677465,0.08029707,0.08029707,0.09691992,0.09650077,0.09650077,0.0888664,0.08112924,0.08112924,0.08112924,0.0787991,0.08007246,0.08007246,0.07218182,0.08743121,0.08743121,0.07755296,0.07755296,0.07790978,0.07885063,0.07885063,0.07022229,0.07022229,0.08689991,0.08313444,0.08313444,0.08313444,0.05906685,0.06682807,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427,0.04988427
UpperLidRaiserR,1.282157E-35,9.036342E-36,6.368645E-36,6.368645E-36,4.488472E-36,4.488472E-36,3.163371E-36,2.229487E-36,2.229487E-36,1.571292E-36,1.107417E-36,1.107417E-36,7.804879E-37,7.804879E-37,5.500713E-37,3.876775E-37,3.876775E-37,2.732258E-37,2.732258E-37,1.925632E-37,1.357146E-37,1.357146E-37,9.564809E-38,9.564809E-38,6.741093E-38,6.741093E-38,4.75101E-38,3.348402E-38,3.348402E-38,2.359896E-38,2.359896E-38,1.663201E-38,1.172191E-38,1.172191E-38,8.261375E-39,5.822472E-39,5.822472E-39,4.103557E-39,4.103557E-39,2.89207E-39,2.03828E-39,2.03828E-39,1.436545E-39,1.436545E-39,1.012447E-39,7.135538E-40,7.135538E-40,5.02898E-40,5.02898E-40,3.544332E-40,2.497941E-40,2.497941E-40,1.760507E-40,1.760507E-40,1.240766E-40,1.240766E-40,8.744663E-41,6.163191E-41,6.163191E-41,4.343745E-41,4.343745E-41,3.061277E-41,2.157579E-41,2.157579E-41,1.520689E-41,1.071713E-41,1.071713E-41,7.552999E-42,7.552999E-42,5.323533E-42,3.752677E-42,3.752677E-42,3.752677E-42,2.64425E-42,1.863727E-42,1.863727E-42,1.314418E-42,9.262583E-43,9.262583E-43,6.530051E-43,6.530051E-43,4.596259E-43,3.251012E-43,3.251012E-43,2.298129E-43,2.298129E-43,1.625506E-43,1.149065E-43,1.149065E-43,8.127531E-44,8.127531E-44,5.605194E-44,5.605194E-44,3.923636E-44,2.802597E-44,1.961818E-44,1.961818E-44,1.401298E-44,1.401298E-44,9.809089E-45,7.006492E-45,7.006492E-45,5.605194E-45,5.605194E-45,2.802597E-45,2.802597E-45,2.802597E-45,2.802597E-45,2.802597E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45,1.401298E-45
