model:head+eye, augmentation_time: 20
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 8
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 9
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 10
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 11
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 12
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 13
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 14
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 15
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 16
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 17
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 18
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 19
member: study2_20_0119_1-10, size: 3, pin: 2, num: 3, augment_time: 20
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 1
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 2
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 3
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 4
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 5
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 6
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 7
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 8
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 9
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 10
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 11
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 12
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 13
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 14
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 15
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 16
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 17
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 18
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 19
member: study2_5_0117_1-10, size: 3, pin: 3, num: 10, augment_time: 20
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 1
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 2
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 3
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 4
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 5
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 6
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 7
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 8
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 9
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 10
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 11
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 12
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 13
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 14
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 15
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 16
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 17
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 18
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 19
member: study2_20_0119_1-10, size: 3, pin: 6, num: 4, augment_time: 20
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 1
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 2
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 3
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 4
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 5
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 6
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 7
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 8
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 9
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 10
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 11
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 12
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 13
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 14
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 15
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 16
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 17
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 18
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 19
member: study2_11_0118_1-7, size: 3, pin: 9, num: 1, augment_time: 20
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 1
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 2
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 3
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 4
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 5
member: study2_6_0117_1-10, size: 3, pin: 16, num: 1, augment_time: 6
