N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.04368889,1.063668,-0.4048496,0.5572965,-0.4680659,-0.5078353,0.4609103
-0.04363549,1.063687,-0.4048629,0.5575657,-0.4681239,-0.5076207,0.4607621
-0.04356849,1.063684,-0.4048734,0.5578028,-0.4680527,-0.5074244,0.4607637
-0.0435816,1.063674,-0.4048033,0.5580616,-0.4681647,-0.5071636,0.4606238
-0.04363358,1.063684,-0.4047647,0.5581436,-0.4683129,-0.507053,0.4604954
-0.04363358,1.063684,-0.4047647,0.5581436,-0.4683129,-0.507053,0.4604954
-0.04364848,1.063689,-0.4047416,0.5581542,-0.468228,-0.5070495,0.4605728
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04373002,1.063707,-0.4046898,0.5579783,-0.4681251,-0.5071871,0.460739
-0.04384029,1.063699,-0.4048656,0.5582508,-0.4678014,-0.5076717,0.4602037
-0.0438391,1.063759,-0.4050617,0.5585018,-0.4676292,-0.5079179,0.4598022
-0.04381847,1.063756,-0.4050938,0.5585944,-0.4676109,-0.5079325,0.4596923
-0.04382575,1.063764,-0.4050822,0.5587207,-0.4676589,-0.5079439,0.4594773
-0.04382718,1.063748,-0.4050095,0.5587246,-0.4677773,-0.5078396,0.4594674
-0.04377699,1.063743,-0.4048435,0.5586349,-0.468027,-0.507617,0.4595681
-0.04377699,1.063743,-0.4048435,0.5586349,-0.468027,-0.507617,0.4595681
-0.04385245,1.06378,-0.4046288,0.5583849,-0.4683493,-0.5075277,0.4596423
-0.04383087,1.063835,-0.4044046,0.5583338,-0.4686893,-0.507197,0.4597226
-0.04383659,1.063928,-0.4043087,0.5584667,-0.4690087,-0.5069473,0.4595108
-0.04383659,1.063928,-0.4043087,0.5584667,-0.4690087,-0.5069473,0.4595108
-0.04385936,1.064033,-0.4044698,0.559251,-0.4692119,-0.5066939,0.4586283
-0.04385936,1.064033,-0.4044698,0.559251,-0.4692119,-0.5066939,0.4586283
-0.04378045,1.064182,-0.4045995,0.5599419,-0.4692667,-0.5063222,0.4581394
-0.04372096,1.064268,-0.4047851,0.5609611,-0.4694385,-0.5057622,0.4573344
-0.04372096,1.064268,-0.4047851,0.5609611,-0.4694385,-0.5057622,0.4573344
-0.04368818,1.064228,-0.4049779,0.5622606,-0.4697167,-0.5050145,0.4562781
-0.04362369,1.064218,-0.4050854,0.5629747,-0.4699098,-0.5045465,0.455716
-0.04350257,1.064184,-0.4051839,0.5643322,-0.4703922,-0.5033926,0.4548145
-0.04343796,1.064161,-0.4050968,0.5649446,-0.4707955,-0.5026485,0.4544598
-0.04326701,1.064193,-0.4047384,0.5660856,-0.4716637,-0.5008948,0.454076
-0.04314911,1.064364,-0.4040865,0.5669508,-0.4728425,-0.4989325,0.4539309
-0.04306138,1.064408,-0.4037378,0.5674022,-0.473452,-0.4978534,0.4539163
-0.04300869,1.064323,-0.4032947,0.5683732,-0.4744169,-0.4960764,0.4536394
-0.04300869,1.064323,-0.4032947,0.5683732,-0.4744169,-0.4960764,0.4536394
-0.04298663,1.064265,-0.4031801,0.5695433,-0.4750055,-0.4948559,0.4528884
-0.04299462,1.06425,-0.4030801,0.5700701,-0.4753997,-0.4941828,0.4525468
-0.04316807,1.064326,-0.4027796,0.5709473,-0.4763353,-0.4928441,0.4519165
-0.04314828,1.064347,-0.4025135,0.5718542,-0.4771269,-0.4914051,0.4515018
-0.04314828,1.064347,-0.4025135,0.5718542,-0.4771269,-0.4914051,0.4515018
-0.04319274,1.064368,-0.4022799,0.5726689,-0.4778468,-0.490137,0.4510859
-0.04332387,1.064348,-0.4019547,0.5731957,-0.4786132,-0.4890375,0.4507976
-0.04336727,1.064338,-0.4017871,0.5734254,-0.4789658,-0.4885115,0.4507013
-0.04339039,1.064306,-0.4015363,0.5738509,-0.4795778,-0.4874886,0.4506164
-0.04340017,1.064284,-0.4014305,0.5741364,-0.4798903,-0.4869464,0.4505064
-0.04340017,1.064284,-0.4014305,0.5741364,-0.4798903,-0.4869464,0.4505064
-0.04340017,1.064284,-0.4014305,0.5741364,-0.4798903,-0.4869464,0.4505064
-0.04340017,1.064284,-0.4014305,0.5741364,-0.4798903,-0.4869464,0.4505064
-0.04364407,1.064228,-0.4007836,0.5747409,-0.4813326,-0.4848223,0.4504877
-0.04373062,1.064212,-0.4008368,0.5749027,-0.4813046,-0.4847294,0.4504113
-0.04377532,1.064149,-0.4008905,0.5749614,-0.481278,-0.4847322,0.4503615
-0.04386222,1.064063,-0.4010379,0.5751123,-0.4811607,-0.4847699,0.4502538
-0.04386222,1.064063,-0.4010379,0.5751123,-0.4811607,-0.4847699,0.4502538
-0.04386318,1.064045,-0.4011297,0.5756471,-0.4812559,-0.484339,0.4499323
-0.04378486,1.064016,-0.4011962,0.5764885,-0.4814717,-0.4835863,0.4494332
-0.04378486,1.064016,-0.4011962,0.5764885,-0.4814717,-0.4835863,0.4494332
-0.04366434,1.064042,-0.4012526,0.5773948,-0.481703,-0.4827246,0.4489482
-0.04366434,1.064042,-0.4012526,0.5773948,-0.481703,-0.4827246,0.4489482
-0.04366434,1.064042,-0.4012526,0.5773948,-0.481703,-0.4827246,0.4489482
