x,y
-0.02194134,0.3844191
-0.02621491,0.389373
-0.03022595,0.390897
-0.03535136,0.3950464
-0.04008525,0.3949776
-0.04647797,0.3990086
-0.05254743,0.4000575
-0.05856371,0.4041142
-0.06350385,0.4046517
-0.06715527,0.4072113
-0.0695747,0.4056506
-0.07313343,0.4076532
-0.07611822,0.4063271
-0.07972512,0.4091233
-0.08174862,0.4086359
-0.08391172,0.4119597
-0.0856621,0.4106892
-0.08889408,0.4140198
-0.09085909,0.4126121
-0.0939898,0.4151201
-0.09622958,0.4137658
-0.09928408,0.4167509
-0.1005023,0.4153498
-0.1028534,0.418638
-0.1054874,0.4185115
-0.1083522,0.4215388
-0.1103878,0.420661
-0.1125609,0.4232658
-0.11247,0.4215416
-0.1134108,0.4234939
-0.1142349,0.4209936
-0.1157695,0.4215861
-0.1155695,0.418846
-0.1145846,0.4201291
-0.1129798,0.4180039
-0.1099728,0.4196739
-0.1067803,0.4170967
-0.1043307,0.4176269
-0.1004135,0.4152213
-0.09673897,0.4165138
-0.09176464,0.415336
-0.08719309,0.417594
-0.08102319,0.4172473
-0.07521296,0.4189505
-0.06951281,0.417558
-0.06542841,0.4194799
-0.06069613,0.4180966
-0.05595656,0.4204472
-0.04969356,0.4195845
-0.04293052,0.4210637
-0.03580828,0.4200993
-0.02924713,0.4226987
-0.02410908,0.4236778
-0.01929051,0.4270374
-0.01522861,0.4264982
-0.01021762,0.4278049
-0.004506564,0.4255159
0.001635678,0.4261647
0.00627601,0.4243732
0.008442142,0.4255008
0.009618504,0.4228833
0.009924253,0.4238681
0.01036601,0.4204902
0.01118507,0.4215913
0.01169401,0.4193363
0.01161675,0.42083
0.01072232,0.4189148
0.01042638,0.4204068
0.01070246,0.4173323
0.01069176,0.4176059
0.0101578,0.4146475
0.009748275,0.4158652
0.008967571,0.4129652
0.007538761,0.4127605
0.005969284,0.408895
0.005214346,0.4092189
0.004849092,0.407242
0.005653542,0.4082475
0.005887969,0.4053465
0.006494143,0.4056784
0.00612509,0.4025902
0.006006584,0.4034755
0.00589111,0.4005441
0.006273209,0.4016268
0.006693007,0.3981179
0.0066772,0.398479
0.006129427,0.3948655
0.00454617,0.3955981
0.002838049,0.3933538
0.002044844,0.3942608
0.001530086,0.3920294
0.001219365,0.3930232
0.000708513,0.3903733
-6.845343E-05,0.3917735
-0.000527888,0.3899088
-0.0009666797,0.3919386
-0.0005636697,0.3900243
-0.0006316376,0.3913202
-0.0006824599,0.3890656
-0.001361813,0.3904478
-0.001649894,0.3874237
-0.001072799,0.3886127
0.0003701947,0.385587
0.001546611,0.3859317
0.001476307,0.3831128
0.001379325,0.3843001
0.0007154364,0.3828831
0.0003972706,0.3849525
0.0005174415,0.3827396
0.0008057812,0.3833421
0.001754515,0.3801165
0.001873997,0.3800094
0.001888825,0.3764439
0.001312471,0.3764678
0.001457995,0.3727053
0.001851275,0.3719966
0.002294777,0.3684323
0.003326169,0.3681933
0.00366521,0.3638152
0.003327281,0.3641288
