N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.01954669,1.13779,-0.1064806,0.4473334,-0.6252377,-0.3170969,0.5553559
-0.016908,1.137946,-0.1067679,0.4340745,-0.6205715,-0.3287073,0.5642889
-0.01495069,1.137804,-0.1071435,0.4216851,-0.6175355,-0.3398807,0.5703619
-0.01378482,1.137625,-0.1074966,0.4078863,-0.6145669,-0.352676,0.575809
-0.01378482,1.137625,-0.1074966,0.4078863,-0.6145669,-0.352676,0.575809
-0.01281816,1.137572,-0.1074728,0.4015129,-0.612425,-0.3580284,0.5792571
-0.01071887,1.137381,-0.107663,0.3908534,-0.6084973,-0.3676597,0.5846291
-0.01003665,1.136936,-0.1079867,0.378788,-0.6058974,-0.3790479,0.5879887
-0.008323789,1.137047,-0.107709,0.3669537,-0.6017972,-0.3879638,0.5938596
-0.008323789,1.137047,-0.107709,0.3669537,-0.6017972,-0.3879638,0.5938596
-0.006574623,1.137424,-0.1070943,0.3566717,-0.5992448,-0.3938738,0.5987943
-0.006356686,1.137599,-0.1062462,0.3454861,-0.5986007,-0.4007642,0.6014189
-0.004722886,1.13791,-0.1055141,0.3366325,-0.5963385,-0.4054523,0.6055307
-0.004722886,1.13791,-0.1055141,0.3366325,-0.5963385,-0.4054523,0.6055307
-0.00324697,1.137772,-0.1052826,0.3277147,-0.5929492,-0.4119106,0.60938
-0.002478465,1.137552,-0.105315,0.3176769,-0.5890547,-0.4205187,0.6125847
-0.001842447,1.137483,-0.1053128,0.3128794,-0.5867393,-0.4245203,0.6145129
-0.001842447,1.137483,-0.1053128,0.3128794,-0.5867393,-0.4245203,0.6145129
-0.0004758015,1.137097,-0.1053874,0.3038749,-0.5817816,-0.4324521,0.6182034
0.0001277477,1.136855,-0.1055788,0.2991394,-0.5790677,-0.4373283,0.6196291
0.0007041767,1.136389,-0.1059747,0.2880204,-0.5726733,-0.4488336,0.6226057
0.002606213,1.135579,-0.1065537,0.2801995,-0.5657272,-0.4575661,0.6261584
0.003256992,1.135041,-0.1068448,0.2721906,-0.5612798,-0.4665011,0.6270998
0.003362492,1.134776,-0.1069317,0.2674532,-0.5592487,-0.4715619,0.6271675
0.004193,1.134214,-0.1073473,0.2596187,-0.5535678,-0.4805628,0.6286654
0.004193,1.134214,-0.1073473,0.2596187,-0.5535678,-0.4805628,0.6286654
0.00521449,1.133572,-0.1077793,0.2543974,-0.5493004,-0.4876397,0.6290936
0.005214468,1.13301,-0.1080768,0.2482807,-0.5459849,-0.4960003,0.6278861
0.005277395,1.132358,-0.108563,0.2424866,-0.5414081,-0.5046181,0.6272464
