N-Vector3X,N-Vector3Y,N-Vector3Z,N-QuaternionX,N-QuaternionY,N-QuaternionZ,N-QuaternionW
-0.02763872,1.099021,-0.1562798,0.57929,-0.5787521,-0.3968766,0.4146784
-0.02766454,1.099098,-0.1563604,0.5790762,-0.5789052,-0.396985,0.4146594
-0.02777075,1.099256,-0.1563908,0.5784307,-0.579551,-0.3970538,0.4145925
-0.02770745,1.099385,-0.1563988,0.5780993,-0.5801045,-0.3967504,0.4145711
-0.02770745,1.099385,-0.1563988,0.5780993,-0.5801045,-0.3967504,0.4145711
-0.02773186,1.099476,-0.1564277,0.5777614,-0.5809392,-0.3963381,0.4142675
-0.02941895,1.100744,-0.1581245,0.5771733,-0.5804124,-0.3996542,0.4126366
-0.02936773,1.098868,-0.1521646,0.5639423,-0.5943065,-0.3868316,0.4232379
-0.02936773,1.098868,-0.1521646,0.5639423,-0.5943065,-0.3868316,0.4232379
-0.0292704,1.098405,-0.1513743,0.5609131,-0.5977928,-0.3836365,0.4252568
-0.02921035,1.098605,-0.1517584,0.5605796,-0.5984085,-0.3833073,0.4251276
-0.02918978,1.098704,-0.1521614,0.5604077,-0.5983657,-0.3836236,0.4251291
-0.02918978,1.098704,-0.1521614,0.5604077,-0.5983657,-0.3836236,0.4251291
-0.02920261,1.098814,-0.1521017,0.5600945,-0.5984837,-0.3834502,0.4255321
-0.02900089,1.098975,-0.1523658,0.560189,-0.5983623,-0.3833935,0.4256293
-0.02900089,1.098975,-0.1523658,0.560189,-0.5983623,-0.3833935,0.4256293
-0.02888387,1.099061,-0.1526658,0.5604225,-0.59801,-0.3836726,0.4255657
-0.02964957,1.098705,-0.1522507,0.55858,-0.599399,-0.3835914,0.4261065
-0.03160093,1.099255,-0.1515374,0.5549259,-0.6013561,-0.3847773,0.4270535
-0.03032297,1.098429,-0.1532621,0.5723804,-0.5857131,-0.3949893,0.4162983
-0.02937661,1.099097,-0.1529832,0.576305,-0.5818027,-0.3969592,0.4144896
-0.02937661,1.099097,-0.1529832,0.576305,-0.5818027,-0.3969592,0.4144896
-0.02986361,1.098983,-0.1525187,0.5750682,-0.5824889,-0.3972989,0.4149179
-0.03065321,1.098963,-0.1521324,0.5731747,-0.5833076,-0.3979966,0.4157185
-0.03065321,1.098963,-0.1521324,0.5731747,-0.5833076,-0.3979966,0.4157185
-0.03138397,1.099084,-0.1519151,0.5708508,-0.5839275,-0.3991189,0.4169679
-0.03164027,1.099135,-0.1517307,0.5695633,-0.5842979,-0.3995974,0.4177507
-0.0318628,1.099282,-0.1512831,0.5666783,-0.5843112,-0.4011244,0.4201849
-0.03212084,1.099403,-0.1510797,0.564774,-0.5840978,-0.402355,0.4218656
-0.03224331,1.099498,-0.1504633,0.5606514,-0.5827672,-0.4051227,0.4265303
-0.03231819,1.099528,-0.1501814,0.55834,-0.5818198,-0.4069067,0.4291492
-0.03286309,1.100581,-0.1514353,0.5553468,-0.5765609,-0.4141387,0.4331936
-0.03228782,1.099958,-0.1439144,0.5340412,-0.5932057,-0.3993034,0.4510696
-0.0330332,1.100103,-0.1409654,0.5197763,-0.597671,-0.3974815,0.4632822
-0.03288363,1.100138,-0.140792,0.5140226,-0.593886,-0.4029935,0.4697621
-0.03288363,1.100138,-0.140792,0.5140226,-0.593886,-0.4029935,0.4697621
-0.0326337,1.100143,-0.1404588,0.505136,-0.5876567,-0.4119443,0.4793738
-0.0326337,1.100143,-0.1404588,0.505136,-0.5876567,-0.4119443,0.4793738
-0.03228079,1.100161,-0.1403987,0.499243,-0.5828128,-0.4184155,0.4858128
-0.03159762,1.100284,-0.1401529,0.4938339,-0.577844,-0.4240541,0.492344
-0.0313183,1.100396,-0.1399058,0.4910701,-0.5756148,-0.4266362,0.495479
-0.03022288,1.10004,-0.1394661,0.4853874,-0.5709439,-0.4315426,0.5021884
-0.03022288,1.10004,-0.1394661,0.4853874,-0.5709439,-0.4315426,0.5021884
-0.03108835,1.100255,-0.1395945,0.4787973,-0.5669402,-0.438367,0.5071157
-0.03233351,1.099923,-0.1406362,0.4755374,-0.5648651,-0.443065,0.5084143
-0.03132706,1.100266,-0.1397539,0.4703779,-0.5606071,-0.4471886,0.5142826
-0.03067658,1.100375,-0.1393811,0.465339,-0.5561035,-0.4519225,0.5195909
-0.03039554,1.100437,-0.1391651,0.4627442,-0.5539935,-0.454149,0.5222143
-0.02976917,1.10074,-0.1385307,0.4576079,-0.550001,-0.4582011,0.5273953
-0.02976917,1.10074,-0.1385307,0.4576079,-0.550001,-0.4582011,0.5273953
-0.02945719,1.100827,-0.1381437,0.4522484,-0.5462582,-0.462701,0.5319598
-0.02935762,1.100879,-0.1380166,0.4493214,-0.544225,-0.4652672,0.5342808
-0.02917799,1.100953,-0.1378915,0.4463319,-0.5419532,-0.4679129,0.5367793
-0.02889672,1.101037,-0.1377644,0.4433562,-0.5394525,-0.4704914,0.5395037
-0.02787049,1.10113,-0.1373788,0.4342172,-0.5314752,-0.4780882,0.5481069
-0.02744664,1.101199,-0.137237,0.4311695,-0.5287728,-0.4805644,0.5509538
-0.02682339,1.101193,-0.1371565,0.4246733,-0.5231849,-0.486035,0.5565071
-0.02621099,1.101232,-0.1370154,0.417653,-0.5172826,-0.4917459,0.5622906
-0.02621099,1.101232,-0.1370154,0.417653,-0.5172826,-0.4917459,0.5622906
-0.02555207,1.101342,-0.1367651,0.410525,-0.5114244,-0.49724,0.5680376
-0.02485866,1.101377,-0.1364814,0.4036384,-0.5056735,-0.5025145,0.5734541
-0.02485866,1.101377,-0.1364814,0.4036384,-0.5056735,-0.5025145,0.5734541
-0.02415646,1.101331,-0.1363105,0.3972157,-0.4999934,-0.5075837,0.5784333
-0.02342147,1.101226,-0.1362712,0.3917167,-0.4946758,-0.5122547,0.5826226
-0.02291391,1.101131,-0.1364994,0.3871097,-0.4895803,-0.5171961,0.5856326
-0.02291391,1.101131,-0.1364994,0.3871097,-0.4895803,-0.5171961,0.5856326
-0.02253855,1.101005,-0.1369018,0.3833247,-0.4847326,-0.5220551,0.5878392
-0.02234704,1.100874,-0.1370513,0.3816496,-0.4824477,-0.5243015,0.5888087
-0.02212952,1.100722,-0.1371995,0.3802422,-0.4803844,-0.5263824,0.5895492
-0.02176121,1.100086,-0.1382914,0.3774013,-0.4739481,-0.5334811,0.5902029
-0.02162707,1.099884,-0.1389556,0.377132,-0.4714459,-0.5361323,0.5899766
-0.02130553,1.099584,-0.1400934,0.3768324,-0.4666846,-0.541147,0.5893749
-0.02130553,1.099584,-0.1400934,0.3768324,-0.4666846,-0.541147,0.5893749
-0.02124472,1.098749,-0.1414427,0.3766108,-0.4603174,-0.5487398,0.5875006
-0.02124472,1.098749,-0.1414427,0.3766108,-0.4603174,-0.5487398,0.5875006
-0.02122058,1.098043,-0.1435369,0.3786121,-0.4545501,-0.5551106,0.584713
-0.02151788,1.097388,-0.1461504,0.3816482,-0.4482415,-0.562412,0.5806178
-0.02171462,1.096667,-0.1486466,0.3850518,-0.4417258,-0.5696424,0.5762995
-0.02183091,1.09628,-0.1499644,0.3868119,-0.4381507,-0.5734672,0.5740523
-0.02183091,1.09628,-0.1499644,0.3868119,-0.4381507,-0.5734672,0.5740523
-0.02195675,1.095957,-0.1513775,0.3886389,-0.4342716,-0.5774146,0.5718045
-0.02204077,1.095706,-0.1526795,0.3904165,-0.4305682,-0.5811616,0.5695939
-0.02320812,1.094759,-0.156078,0.3952699,-0.4196247,-0.5946181,0.5604517
-0.02320812,1.094759,-0.156078,0.3952699,-0.4196247,-0.5946181,0.5604517
-0.02313061,1.094209,-0.1573366,0.3981331,-0.4125498,-0.6016369,0.5561707
-0.02301838,1.093867,-0.1578306,0.3993537,-0.4101788,-0.6036673,0.5548477
-0.02301838,1.093867,-0.1578306,0.3993537,-0.4101788,-0.6036673,0.5548477
-0.0231207,1.09362,-0.1585941,0.400703,-0.4076631,-0.6061293,0.5530419
-0.02341778,1.093538,-0.161154,0.4052959,-0.3997515,-0.6133897,0.547437
-0.0233555,1.093395,-0.1617915,0.406856,-0.397322,-0.6151783,0.5460394
-0.02333193,1.093208,-0.1623887,0.4083113,-0.39506,-0.6168748,0.5446789
-0.02333193,1.093208,-0.1623887,0.4083113,-0.39506,-0.6168748,0.5446789
-0.02341394,1.093054,-0.1630721,0.4097603,-0.3928874,-0.6185777,0.5432289
-0.023645,1.092709,-0.1665616,0.4171614,-0.3838495,-0.625069,0.5365862
-0.02357044,1.092589,-0.1686448,0.4221554,-0.3794893,-0.6275896,0.5328264
-0.02358038,1.09252,-0.1697383,0.4249299,-0.3772204,-0.6288127,0.5307862
-0.02357532,1.092457,-0.1710359,0.4280953,-0.3750354,-0.6300255,0.5283471
-0.02357532,1.092457,-0.1710359,0.4280953,-0.3750354,-0.6300255,0.5283471
-0.02302456,1.089435,-0.171753,0.4310019,-0.3738441,-0.6296108,0.5273217
-0.02133716,1.089393,-0.177994,0.4508531,-0.3651754,-0.6302918,0.5158592
-0.0210492,1.089227,-0.1797827,0.4573054,-0.3636436,-0.6297454,0.511914
-0.02024065,1.089484,-0.1841679,0.4735983,-0.3612067,-0.6274242,0.5015707
-0.01936253,1.089647,-0.1886019,0.4934116,-0.3625582,-0.6223501,0.4876238
-0.01891349,1.090069,-0.1911087,0.5049192,-0.3641556,-0.6189449,0.4789098
-0.01891349,1.090069,-0.1911087,0.5049192,-0.3641556,-0.6189449,0.4789098
-0.01813676,1.090296,-0.1934541,0.5173976,-0.3667205,-0.6142995,0.4695231
-0.01663567,1.089426,-0.2005033,0.5543501,-0.3789313,-0.59846,0.4369814
-0.01576068,1.089073,-0.2032497,0.5760357,-0.3893422,-0.5867375,0.4151321
-0.01529548,1.08892,-0.2041793,0.5861575,-0.3949093,-0.5804293,0.4044353
-0.01529548,1.08892,-0.2041793,0.5861575,-0.3949093,-0.5804293,0.4044353
-0.01448484,1.088787,-0.2046997,0.5959994,-0.4006507,-0.5734888,0.3941755
-0.01330691,1.08824,-0.2054791,0.6206542,-0.4172706,-0.5543025,0.3652704
-0.01275288,1.088186,-0.2056475,0.6280077,-0.422012,-0.5481392,0.3564488
-0.01187574,1.088157,-0.2057121,0.6407009,-0.4303775,-0.5368128,0.3407485
-0.01165672,1.088062,-0.205602,0.6457618,-0.4339736,-0.5320448,0.3340465
-0.01160381,1.087973,-0.2055124,0.6500828,-0.4371167,-0.5279379,0.3280289
-0.01131351,1.087797,-0.2051442,0.6599701,-0.4437921,-0.5181653,0.3146312
-0.01131351,1.087797,-0.2051442,0.6599701,-0.4437921,-0.5181653,0.3146312
-0.01126841,1.087793,-0.2049488,0.6623545,-0.4452107,-0.5157598,0.3115537
-0.01134812,1.08777,-0.2047642,0.6641105,-0.446067,-0.5141193,0.309294
-0.01134812,1.08777,-0.2047642,0.6641105,-0.446067,-0.5141193,0.309294
-0.01154554,1.087889,-0.204737,0.6663783,-0.4463021,-0.5126359,0.3065271
-0.01188698,1.088375,-0.2050307,0.6669831,-0.4418517,-0.5146971,0.3082004
-0.01225804,1.088485,-0.2051499,0.6665019,-0.4399118,-0.515994,0.3098436
-0.01090901,1.089778,-0.205909,0.6653039,-0.4346752,-0.5194651,0.3139812
-0.01141592,1.08956,-0.2060997,0.663213,-0.4322217,-0.5224308,0.316858
-0.01180791,1.089502,-0.2062642,0.6611335,-0.4293935,-0.5256107,0.3197767
-0.01180791,1.089502,-0.2062642,0.6611335,-0.4293935,-0.5256107,0.3197767
-0.01228693,1.089482,-0.2064979,0.6588032,-0.4265439,-0.52907,0.3226822
-0.01353772,1.089533,-0.2071691,0.6532653,-0.4201449,-0.5373611,0.3285816
-0.01353772,1.089533,-0.2071691,0.6532653,-0.4201449,-0.5373611,0.3285816
-0.0141143,1.089542,-0.2076124,0.6478585,-0.4127765,-0.5452347,0.3355802
