x,y
-0.3155048,0.5950818
-0.3222484,0.6015629
-0.3301556,0.6082124
-0.3428654,0.6174639
-0.3482567,0.6187069
-0.355508,0.6264502
-0.3626039,0.6339862
-0.3701534,0.6417417
-0.3767922,0.6480519
-0.3820292,0.6508849
-0.3883267,0.6581854
-0.3916931,0.6625636
-0.3989069,0.6729846
-0.4067646,0.682053
-0.4141706,0.6898165
-0.4213414,0.697216
-0.4242551,0.7012135
-0.4306267,0.7098944
-0.4328461,0.712043
-0.4379023,0.7199614
-0.4380364,0.7200378
-0.4433781,0.7273229
-0.4453499,0.7288241
-0.4512431,0.7377957
-0.4530357,0.7385462
-0.4578694,0.7456769
-0.4577262,0.7459118
-0.4616613,0.7551802
-0.462303,0.7579318
-0.4673636,0.7671106
-0.4674703,0.7682925
-0.4706253,0.7754887
-0.4691886,0.7731866
-0.4706846,0.7769551
-0.4673996,0.7740576
-0.4661635,0.777563
-0.4596287,0.7751154
-0.4531256,0.7731708
-0.4437992,0.7707025
-0.432336,0.7665504
-0.4176121,0.7616618
-0.4027888,0.7558556
-0.3858901,0.7503326
-0.3676537,0.7439449
-0.348604,0.7390134
-0.3293779,0.7340819
-0.3084996,0.727967
-0.286509,0.7200994
-0.2618216,0.7098237
-0.2365983,0.7032151
-0.2128992,0.7001174
-0.1890674,0.7000306
-0.1643278,0.698078
-0.1364785,0.6933982
-0.1074868,0.6872449
-0.08007342,0.6820896
-0.05412927,0.6778813
-0.03006271,0.6735618
-0.005022219,0.6678402
0.01965281,0.6582244
0.04377455,0.6458172
0.06680065,0.6316553
0.08894978,0.6137985
0.1103969,0.5904684
0.1307181,0.5655143
0.150891,0.5414833
0.1707169,0.5191737
0.1891248,0.4953284
0.2081972,0.4710919
0.2259502,0.4462484
0.2407995,0.4260805
0.2541835,0.4097037
0.2652197,0.397681
0.2783711,0.3870389
0.2913476,0.3723927
0.305369,0.3558194
0.3180923,0.3381822
0.3295314,0.3203157
0.3395285,0.3039445
0.3482328,0.2888564
0.3568535,0.2750889
0.3651617,0.2630142
0.3731776,0.2521237
0.3810357,0.240333
0.3880471,0.2278704
0.3947339,0.2141892
0.4003053,0.2005776
0.4057419,0.1890594
0.4100981,0.1786993
0.4137629,0.1691975
0.417581,0.1598044
0.4212759,0.1509432
0.4255218,0.1415233
0.4294258,0.1323966
0.4327756,0.1227275
0.4349674,0.1124232
0.4367979,0.1022837
0.4395079,0.09314074
0.4410076,0.08614274
0.4446575,0.08148081
0.4449008,0.07709204
0.4481023,0.07473192
0.4462262,0.07193664
0.4468267,0.07215179
0.4436195,0.0726177
0.4428904,0.07488595
0.4390009,0.07515509
0.4384132,0.07544694
0.4333492,0.07495243
0.4316852,0.07465552
0.4269038,0.0740907
0.4256034,0.07435252
0.4219176,0.073995
0.4214314,0.07413138
0.4176174,0.07275108
0.4169666,0.07217418
0.4123161,0.07164385
0.4111751,0.07223696
0.4071243,0.07280208
0.407538,0.0738102
0.4040054,0.07500126
0.4047882,0.07683178
0.4014371,0.07713211
0.4019937,0.07763404
0.4003915,0.07642265
0.4027611,0.07571557
0.4017918,0.07451852
0.4039359,0.07474998
0.4019601,0.07533328
0.4032103,0.07709102
0.4011387,0.07703733
0.4029458,0.07673567
0.4008691,0.0751428
0.4034035,0.0738547
0.402031,0.0735357
0.4038191,0.07427571
