x,y
-0.4186987,0.589559
-0.4193313,0.591552
-0.4182022,0.5898484
-0.4210896,0.5941723
-0.4208702,0.5950099
-0.4228482,0.6007174
-0.4198284,0.599562
-0.421434,0.6033168
-0.4208067,0.6022282
-0.4249008,0.6077252
-0.4251738,0.6060326
-0.4283924,0.6108117
-0.4272759,0.609733
-0.4304176,0.6156025
-0.4292526,0.6151263
-0.4332554,0.6210983
-0.4334373,0.6205037
-0.437027,0.6248192
-0.4368333,0.6241336
-0.4413709,0.6301287
-0.442218,0.6310012
-0.4462366,0.6388234
-0.4460997,0.6407515
-0.4495487,0.6479893
-0.4501007,0.647673
-0.4554825,0.6532934
-0.4559588,0.651069
-0.4600206,0.6549045
-0.4596477,0.6530249
-0.4635484,0.6577659
-0.4624381,0.6560799
-0.4650749,0.6606598
-0.4640325,0.6583737
-0.4658763,0.6612016
-0.463396,0.6573932
-0.4641062,0.6578354
-0.4604981,0.6530238
-0.4595075,0.6534845
-0.4539855,0.6499144
-0.4507276,0.6506819
-0.4434978,0.6478603
-0.4373502,0.6478329
-0.4279322,0.6471585
-0.4179072,0.6466626
-0.4080324,0.6468942
-0.3972708,0.6482623
-0.3842503,0.6499491
-0.3686599,0.6532567
-0.3514931,0.65654
-0.3326837,0.6581841
-0.313551,0.6592523
-0.2938352,0.6606035
-0.2732562,0.6622087
-0.2495181,0.6647654
-0.2240398,0.6674706
-0.199148,0.6700745
-0.173119,0.6723703
-0.1451999,0.6733064
-0.1177866,0.6726937
-0.09044104,0.6705279
-0.06316846,0.6691321
-0.03252961,0.6689242
-0.002084703,0.6694873
0.05246685,0.6695523
0.07738615,0.667934
0.1019121,0.6669653
0.1257781,0.6662315
0.1486565,0.6655976
0.1700953,0.6632727
0.1878414,0.6599692
0.2016244,0.6560279
0.2142933,0.6531539
0.2260091,0.6529756
0.238603,0.6529236
0.2504899,0.6513473
0.2604967,0.6476204
0.2685308,0.6423238
0.2747277,0.6384671
0.2811805,0.639097
0.2842834,0.635722
0.2879353,0.6365417
0.2880378,0.6304083
0.2891641,0.6291832
0.2874131,0.6253358
0.2888563,0.627477
0.2875182,0.6235293
0.2875835,0.6239077
0.2848863,0.6185227
0.284243,0.6175096
0.2832089,0.6132548
0.2878593,0.6170098
0.2914258,0.6175495
0.2977487,0.6234118
0.2997341,0.6212069
0.3056948,0.6217168
0.3072881,0.6161726
0.3102618,0.6122366
0.3111649,0.6041077
0.3118998,0.595945
0.3098039,0.5840648
0.3056175,0.5697394
0.3004671,0.5542408
0.2930143,0.5357482
0.2848716,0.517179
0.2756838,0.5002856
0.266264,0.4825861
0.256689,0.4645382
0.2459695,0.4437239
0.2333616,0.4219811
0.2184767,0.4036833
0.2023591,0.3938729
0.1875318,0.3903512
0.1746347,0.389935
0.1626665,0.3889972
0.1506712,0.3848718
0.1364104,0.3785034
0.1223458,0.3724883
0.1106308,0.3686679
0.1004483,0.3658516
0.09303559,0.3637133
0.08651539,0.3606794
0.07960625,0.3583815
0.07307769,0.3552975
0.06735437,0.3541761
0.06478084,0.350722
0.0643632,0.3507633
0.06380634,0.3479393
0.06378663,0.3488999
0.0632274,0.3470511
0.06185692,0.3478347
0.0594071,0.3447803
0.05786154,0.3437966
0.05590917,0.3400384
0.05410578,0.3385885
0.05123058,0.3348398
0.0483825,0.3332821
0.04483423,0.329405
0.0410574,0.3278725
0.03642589,0.3232446
0.03238062,0.3206535
0.02804865,0.3162276
0.02286022,0.3135724
0.01635636,0.3089435
0.009073716,0.3038683
0.001321398,0.2973515
-0.006146523,0.289657
-0.01471859,0.2809091
-0.02271178,0.2734661
-0.03070048,0.270863
-0.03748995,0.2702454
-0.04429542,0.2724768
-0.05012882,0.2709044
-0.05612336,0.2696387
-0.06203757,0.2652912
-0.0686871,0.2615249
-0.07430829,0.2586007
-0.07842995,0.2591077
-0.08098728,0.2573858
-0.08240221,0.2575505
-0.0840295,0.25466
-0.08582831,0.2530096
-0.08685487,0.2487209
-0.08811849,0.2471242
-0.08941455,0.2437604
-0.09088221,0.2422506
-0.09097569,0.2385572
-0.09013382,0.2369127
-0.08913608,0.2333546
-0.08914364,0.2321822
-0.08899882,0.2290088
-0.08988372,0.2282631
-0.08976299,0.2255006
-0.08991988,0.2252671
-0.0895412,0.2230889
-0.08988575,0.2224379
-0.08932459,0.2199878
-0.08959659,0.2184786
-0.08882635,0.2142836
-0.08823454,0.2121902
-0.0835515,0.1984826
-0.0825171,0.194583
