************ positive_label: ['14'] ************ 
model:head+eye, augmentation_time: 100
studytype_users_dates_range: ['study2_20_0119_1-15', 'study2_17_0119_1-15', 'study2_14_0118_1-10', 'study2_11_0118_1-7']
n_split: 4, noise_level: 0.3
segmantation num: 4
----------------pin_list: [2]----------------
smoothed
['17' '17' '17' '17' '11' '17' '17' '17' '17' '17' '17' '17' '17' '17'
 '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17'] ['14' '14' '11' '20' '17' '17' '20' '17' '17' '11' '17' '20' '11' '17'
 '20' '14' '11' '11' '14' '14' '14' '11' '17' '20' '20' '20' '11']
latter_y_pred, latter_labels
['11' '11' '11' '17' '11' '17' '11' '11' '11' '11' '11' '17' '11' '17'
 '17' '11' '11' '11' '11' '11' '11' '11' '11' '17' '11' '17' '11'] ['14' '14' '11' '20' '17' '17' '20' '17' '17' '11' '17' '20' '11' '17'
 '20' '14' '11' '11' '14' '14' '14' '11' '17' '20' '20' '20' '11']
latter_y_pred, latter_labels
['17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17'
 '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17' '17'] ['14' '14' '11' '20' '17' '17' '20' '17' '17' '11' '17' '20' '11' '17'
 '20' '14' '11' '11' '14' '14' '14' '11' '17' '20' '20' '20' '11']
Average Accuracy: 1.0 
precision: 1.0 
recalls: 1.0 
f1s: 1.0 
fars: nan 
frrs: nan
随时间推移的准确率
Average Accuracy Latter: 0.2777777777777778 
precision: 0.6597703650944391 
recalls: 0.2777777777777778 
f1s: 0.20943266147075268 
fars: nan 
frrs: nan
程序运行时间：755.1049010753632秒
