NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,1.204611e-09,0.0
-1.0,-1.0,-1.0,-1.0,8.484918e-10,0.0
-1.0,-1.0,-1.0,-1.0,5.977114e-10,0.0
-1.0,-1.0,-1.0,-1.0,5.977114e-10,0.0
-1.0,-1.0,-1.0,-1.0,4.210891e-10,0.0
-1.0,-1.0,-1.0,-1.0,4.210891e-10,0.0
-1.0,-1.0,-1.0,-1.0,2.966769e-10,0.0
-1.0,-1.0,-1.0,-1.0,2.090356e-10,0.0
-1.0,-1.0,-1.0,-1.0,2.090356e-10,0.0
-1.0,-1.0,-1.0,-1.0,1.472915e-10,0.0
-1.0,-1.0,-1.0,-1.0,1.472915e-10,0.0
-1.0,-1.0,-1.0,-1.0,1.037881e-10,0.0
-1.0,-1.0,-1.0,-1.0,7.313631e-11,0.0
-1.0,-1.0,-1.0,-1.0,7.313631e-11,0.0
-1.0,-1.0,-1.0,-1.0,5.153837e-11,0.0
-1.0,-1.0,-1.0,-1.0,3.631939e-11,0.0
-1.0,-1.0,-1.0,-1.0,3.631939e-11,0.0
-1.0,-1.0,-1.0,-1.0,3.631939e-11,0.0
-1.0,-1.0,-1.0,-1.0,2.559495e-11,0.0
-1.0,-1.0,-1.0,-1.0,1.803756e-11,0.0
-1.0,-1.0,-1.0,-1.0,1.803756e-11,0.0
-1.0,-1.0,-1.0,-1.0,1.271173e-11,0.0
-1.0,-1.0,-1.0,-1.0,8.958581e-12,0.0
-1.0,-1.0,-1.0,-1.0,8.958581e-12,0.0
-1.0,-1.0,-1.0,-1.0,6.313576e-12,0.0
-1.0,-1.0,-1.0,-1.0,6.313576e-12,0.0
-1.0,-1.0,-1.0,-1.0,0.0003906557,0.0
-1.0,-1.0,-1.0,-1.0,0.000631913,0.0
-1.0,-1.0,-1.0,-1.0,0.000631913,0.0
-1.0,-1.0,-1.0,-1.0,0.006172296,0.0
-1.0,-1.0,-1.0,-1.0,0.006172296,0.0
-1.0,-1.0,-1.0,-1.0,0.003653256,0.0
-1.0,-1.0,-1.0,-1.0,0.002223984,0.0
-1.0,-1.0,-1.0,-1.0,0.002223984,0.0
-1.0,-1.0,-1.0,-1.0,0.001386594,0.0
-1.0,-1.0,-1.0,-1.0,0.001386594,0.0
-1.0,-1.0,-1.0,-1.0,0.000882131,0.0
-1.0,-1.0,-1.0,-1.0,0.000882131,0.0
-1.0,-1.0,-1.0,-1.0,0.0005708216,0.0
-1.0,-1.0,-1.0,-1.0,0.000374687,0.0
-1.0,-1.0,-1.0,-1.0,0.0002489017,0.0
-1.0,-1.0,-1.0,-1.0,0.0002489017,0.0
-1.0,-1.0,-1.0,-1.0,0.0002489017,0.0
-1.0,-1.0,-1.0,-1.0,0.0001670052,0.0
-1.0,-1.0,-1.0,-1.0,0.0001129938,0.0
-1.0,-1.0,-1.0,-1.0,7.698355e-05,0.0
-1.0,-1.0,-1.0,-1.0,7.698355e-05,0.0
-1.0,-1.0,-1.0,-1.0,5.275363e-05,0.0
-1.0,-1.0,-1.0,-1.0,5.275363e-05,0.0
-1.0,-1.0,-1.0,-1.0,3.632413e-05,0.0
-1.0,-1.0,-1.0,-1.0,3.632413e-05,0.0
-1.0,-1.0,-1.0,-1.0,2.511157e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.741775e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.741775e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.211444e-05,0.0
-1.0,-1.0,-1.0,-1.0,8.445e-06,0.0
-1.0,-1.0,-1.0,-1.0,5.8982e-06,0.0
-1.0,-1.0,-1.0,-1.0,5.8982e-06,0.0
-1.0,-1.0,-1.0,-1.0,5.8982e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.125864e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.889861e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.026296e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.026296e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.026296e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.422041e-06,0.0
-1.0,-1.0,-1.0,-1.0,9.98709e-07,0.0
-1.0,-1.0,-1.0,-1.0,9.98709e-07,0.0
-1.0,-1.0,-1.0,-1.0,0.0003895093,0.0
-1.0,-1.0,-1.0,-1.0,0.0002688819,0.0
-1.0,-1.0,-1.0,-1.0,0.0002688819,0.0
-1.0,-1.0,-1.0,-1.0,0.0005536746,0.0
-1.0,-1.0,-1.0,-1.0,0.0005536746,0.0
-1.0,-1.0,-1.0,-1.0,0.02904303,0.0
-1.0,-1.0,-1.0,-1.0,0.01992145,0.0
-1.0,-1.0,-1.0,-1.0,0.01992145,0.0
-1.0,-1.0,-1.0,-1.0,0.01528533,0.0
-1.0,-1.0,-1.0,-1.0,0.01528533,0.0
-1.0,-1.0,-1.0,-1.0,0.00727443,0.0
-1.0,-1.0,-1.0,-1.0,0.003970574,0.0
-1.0,-1.0,-1.0,-1.0,0.003970574,0.0
-1.0,-1.0,-1.0,-1.0,0.001831487,0.0
-1.0,-1.0,-1.0,-1.0,0.001831487,0.0
-1.0,-1.0,-1.0,-1.0,0.02071765,0.0
-1.0,-1.0,-1.0,-1.0,0.02071765,0.0
-1.0,-1.0,-1.0,-1.0,0.03179703,0.0
-1.0,-1.0,-1.0,-1.0,0.02783307,0.0
-1.0,-1.0,-1.0,-1.0,0.02783307,0.0
-1.0,-1.0,-1.0,-1.0,0.02669473,0.0
-1.0,-1.0,-1.0,-1.0,0.02669473,0.0
-1.0,-1.0,-1.0,-1.0,0.03964508,0.0
-1.0,-1.0,-1.0,-1.0,0.042106,0.0
-1.0,-1.0,-1.0,-1.0,0.042106,0.0
-1.0,-1.0,-1.0,-1.0,0.0644161,0.0
-1.0,-1.0,-1.0,-1.0,0.0644161,0.0
-1.0,-1.0,-1.0,-1.0,0.06732979,0.0
-1.0,-1.0,-1.0,-1.0,0.06732979,0.0
-1.0,-1.0,-1.0,-1.0,0.05502367,0.0
-1.0,-1.0,-1.0,-1.0,0.0442007,0.0
-1.0,-1.0,-1.0,-1.0,0.04350154,0.0
-1.0,-1.0,-1.0,-1.0,0.04350154,0.0
-1.0,-1.0,-1.0,-1.0,0.03142324,0.0
-1.0,-1.0,-1.0,-1.0,0.03142324,0.0
-1.0,-1.0,-1.0,-1.0,0.03275454,0.0
-1.0,-1.0,-1.0,-1.0,0.03275454,0.0
-1.0,-1.0,-1.0,-1.0,0.03346955,0.0
-1.0,-1.0,-1.0,-1.0,0.04616537,0.0
-1.0,-1.0,-1.0,-1.0,0.04616537,0.0
-1.0,-1.0,-1.0,-1.0,0.03236532,0.0
-1.0,-1.0,-1.0,-1.0,0.03236532,0.0
-1.0,-1.0,-1.0,-1.0,0.01378365,0.0
-1.0,-1.0,-1.0,-1.0,0.003274592,0.0
-1.0,-1.0,-1.0,-1.0,0.003274592,0.0
-1.0,-1.0,-1.0,-1.0,0.001512885,0.0
-1.0,-1.0,-1.0,-1.0,0.001512885,0.0
-1.0,-1.0,-1.0,-1.0,0.0003324504,0.0
-1.0,-1.0,-1.0,-1.0,8.293882e-05,0.0
-1.0,-1.0,-1.0,-1.0,8.293882e-05,0.0
-1.0,-1.0,-1.0,-1.0,2.329758e-05,0.0
-1.0,-1.0,-1.0,-1.0,7.305267e-06,0.0
-1.0,-1.0,-1.0,-1.0,7.305267e-06,0.0
-1.0,-1.0,-1.0,-1.0,7.305267e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.534259e-06,0.0
-1.0,-1.0,-1.0,-1.0,9.639206e-07,0.0
-1.0,-1.0,-1.0,-1.0,3.983873e-07,0.0
-1.0,-1.0,-1.0,-1.0,3.983873e-07,0.0
-1.0,-1.0,-1.0,-1.0,3.983873e-07,0.0
-1.0,-1.0,-1.0,-1.0,1.77356e-07,0.0
-1.0,-1.0,-1.0,-1.0,8.433509e-08,0.0
-1.0,-1.0,-1.0,-1.0,8.433509e-08,0.0
-1.0,-1.0,-1.0,-1.0,4.249641e-08,0.0
-1.0,-1.0,-1.0,-1.0,2.25255e-08,0.0
-1.0,-1.0,-1.0,-1.0,2.25255e-08,0.0
-1.0,-1.0,-1.0,-1.0,0.0004248686,0.0
-1.0,-1.0,-1.0,-1.0,0.0004248686,0.0
-1.0,-1.0,-1.0,-1.0,0.0002407263,0.0
-1.0,-1.0,-1.0,-1.0,0.0001411868,0.0
-1.0,-1.0,-1.0,-1.0,0.0001411868,0.0
-1.0,-1.0,-1.0,-1.0,8.528517e-05,0.0
-1.0,-1.0,-1.0,-1.0,8.528517e-05,0.0
-1.0,-1.0,-1.0,-1.0,5.282463e-05,0.0
-1.0,-1.0,-1.0,-1.0,3.34204e-05,0.0
-1.0,-1.0,-1.0,-1.0,3.34204e-05,0.0
-1.0,-1.0,-1.0,-1.0,2.152515e-05,0.0
-1.0,-1.0,-1.0,-1.0,2.152515e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.407377e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.407377e-05,0.0
-1.0,-1.0,-1.0,-1.0,9.318536e-06,0.0
-1.0,-1.0,-1.0,-1.0,6.235306e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.209078e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.209078e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.209078e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.862236e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.958282e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.958282e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.346626e-06,0.0
-1.0,-1.0,-1.0,-1.0,9.299243e-07,0.0
-1.0,-1.0,-1.0,-1.0,9.299243e-07,0.0
-1.0,-1.0,-1.0,-1.0,6.444241e-07,0.0
-1.0,-1.0,-1.0,-1.0,6.444241e-07,0.0
-1.0,-1.0,-1.0,-1.0,4.478719e-07,0.0
-1.0,-1.0,-1.0,-1.0,3.120205e-07,0.0
-1.0,-1.0,-1.0,-1.0,3.120205e-07,0.0
-1.0,-1.0,-1.0,-1.0,2.17811e-07,0.0
-1.0,-1.0,-1.0,-1.0,2.17811e-07,0.0
-1.0,-1.0,-1.0,-1.0,1.522965e-07,0.0
-1.0,-1.0,-1.0,-1.0,1.066342e-07,0.0
-1.0,-1.0,-1.0,-1.0,1.066342e-07,0.0
-1.0,-1.0,-1.0,-1.0,7.474689e-08,0.0
-1.0,-1.0,-1.0,-1.0,7.474689e-08,0.0
-1.0,-1.0,-1.0,-1.0,5.244414e-08,0.0
-1.0,-1.0,-1.0,-1.0,5.244414e-08,0.0
-1.0,-1.0,-1.0,-1.0,3.682444e-08,0.0
-1.0,-1.0,-1.0,-1.0,2.587359e-08,0.0
-1.0,-1.0,-1.0,-1.0,1.818901e-08,0.0
-1.0,-1.0,-1.0,-1.0,1.818901e-08,0.0
-1.0,-1.0,-1.0,-1.0,1.818901e-08,0.0
-1.0,-1.0,-1.0,-1.0,1.279241e-08,0.0
-1.0,-1.0,-1.0,-1.0,0.0003896091,0.0
-1.0,-1.0,-1.0,-1.0,0.0003896091,0.0
-1.0,-1.0,-1.0,-1.0,0.0006306621,0.0
-1.0,-1.0,-1.0,-1.0,0.000429408,0.0
-1.0,-1.0,-1.0,-1.0,0.000429408,0.0
-1.0,-1.0,-1.0,-1.0,0.006105908,0.0
-1.0,-1.0,-1.0,-1.0,0.006105908,0.0
-1.0,-1.0,-1.0,-1.0,0.02976723,0.0
-1.0,-1.0,-1.0,-1.0,0.03357212,0.0
-1.0,-1.0,-1.0,-1.0,0.03357212,0.0
-1.0,-1.0,-1.0,-1.0,0.03427461,0.0
-1.0,-1.0,-1.0,-1.0,0.03427461,0.0
-1.0,-1.0,-1.0,-1.0,0.03442245,0.0
-1.0,-1.0,-1.0,-1.0,0.04105424,0.0
-1.0,-1.0,-1.0,-1.0,0.04105424,0.0
-1.0,-1.0,-1.0,-1.0,0.04928168,0.0
-1.0,-1.0,-1.0,-1.0,0.04928168,0.0
-1.0,-1.0,-1.0,-1.0,0.07293954,0.0
-1.0,-1.0,-1.0,-1.0,0.07293954,0.0
-1.0,-1.0,-1.0,-1.0,0.07575135,0.0
-1.0,-1.0,-1.0,-1.0,0.08334985,0.0
-1.0,-1.0,-1.0,-1.0,0.08334985,0.0
-1.0,-1.0,-1.0,-1.0,0.09162588,0.0
-1.0,-1.0,-1.0,-1.0,0.09162588,0.0
-1.0,-1.0,-1.0,-1.0,0.07623919,0.0
-1.0,-1.0,-1.0,-1.0,0.08288513,0.0
-1.0,-1.0,-1.0,-1.0,0.08288513,0.0
-1.0,-1.0,-1.0,-1.0,0.0709798,0.0
-1.0,-1.0,-1.0,-1.0,0.07461444,0.0
-1.0,-1.0,-1.0,-1.0,0.07461444,0.0
-1.0,-1.0,-1.0,-1.0,0.08215576,0.0
-1.0,-1.0,-1.0,-1.0,0.08215576,0.0
-1.0,-1.0,-1.0,-1.0,0.07861278,0.0
-1.0,-1.0,-1.0,-1.0,0.06609257,0.0
-1.0,-1.0,-1.0,-1.0,0.06609257,0.0
-1.0,-1.0,-1.0,-1.0,0.06665706,0.0
-1.0,-1.0,-1.0,-1.0,0.06665706,0.0
-1.0,-1.0,-1.0,-1.0,0.06222352,0.0
-1.0,-1.0,-1.0,-1.0,0.06432011,0.0
-1.0,-1.0,-1.0,-1.0,0.06432011,0.0
-1.0,-1.0,-1.0,-1.0,0.06432011,0.0
-1.0,-1.0,-1.0,-1.0,0.07187835,0.0
-1.0,-1.0,-1.0,-1.0,0.06411886,0.0
-1.0,-1.0,-1.0,-1.0,0.06411886,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
-1.0,-1.0,-1.0,-1.0,0.0613832,0.0
